prompt,hunyuan,flux,stable_diffusion
"photo of a rhino dressed suit and tie sitting at a table in a bar with a bar stools, award winning photography, Elke vogelsang","{'url': 'https://v3.fal.media/files/panda/PGanSQBEXdj5fRma58Ejp_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 1133544, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/penguin/XE1WSaF1K9fCfU49MsmlU.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A futuristic cityscape at sunset, ultra detailed, 8k, trending on artstation","{'url': 'https://v3.fal.media/files/kangaroo/XkWd6yDJely-9rsetNz4P_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 1033776, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/panda/RU3zT6jMcxWLOXPyEpJws.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A cat astronaut floating in space, watercolor style","{'url': 'https://v3.fal.media/files/elephant/z_WIR7-jA-USsMwTBG73I_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 1197180, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/koala/LNJusORGuRoShB2VPhTPE.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A serene mountain lake at dawn, photorealistic","{'url': 'https://v3.fal.media/files/tiger/9k7W32w7E_j25jzgy0GYe_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 837773, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/elephant/eaqQyHTFs-Xz3HPs3dpZb.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A robot painter creating a masterpiece, digital art","{'url': 'https://v3.fal.media/files/monkey/eGEI-G8f_GBkl2YBCkGHA_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 1106783, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/elephant/JG1LDZ55BWtA1ymVcaWBV.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A fantasy castle on a floating island, epic lighting","{'url': 'https://v3.fal.media/files/koala/7UZ5zu6pTYoxWtdC_Kp-k_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 1054211, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/kangaroo/xGmwsR2tAWzY0niQ-a4a_.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A close-up portrait of a lion wearing glasses, studio lighting","{'url': 'https://v3.fal.media/files/zebra/UYnl_LhiiFPXlbd_MTcbb_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 1236742, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/tiger/08I0w7k129LlmkOi4f6ij.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
A cyberpunk street scene with neon lights and rain,"{'url': 'https://v3.fal.media/files/koala/DWLwrQk9zUXfvaYahbQ8J_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 1187488, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/lion/i-8mXdfMLtnaH4uGT7VlR.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
A magical forest with glowing plants and fairies,"{'url': 'https://v3.fal.media/files/zebra/-z3_oLXhYgYdU6tBDA7t6_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 1206845, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/lion/0IEdjLV13hGRLJ-_d_2cb.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
"A delicious bowl of ramen on a wooden table, food photography","{'url': 'https://v3.fal.media/files/koala/url7f1PfncVhH-LjVza0D_generated_image_0.png', 'content_type': 'application/octet-stream', 'file_name': 'generated_image_0.png', 'file_size': 1037442, 'width': None, 'height': None}","{'url': 'https://v3.fal.media/files/tiger/WmoOaXiV_kg-Mqd353u7A.jpeg', 'width': 1024, 'height': 768, 'content_type': 'image/jpeg'}",Error: Application 'stable-diffusion-xl' not found
